iso_utc,uptime_s,procs,ws_mb,private_mb,handles,threads,avail_mb,commit_pct,cpu_pct_sum
2026-08-25T13:26:24Z,3,9,1384.5,840.4,5357,265,20527,34.7,0
2026-08-25T13:27:27Z,66,9,1380.1,834.8,5357,263,20480,34.7,38.38
2026-08-25T13:28:30Z,130,9,1380.8,835.5,5353,263,20519,34.6,36.28
2026-08-25T13:29:33Z,193,9,1382.5,836.5,5274,271,20597,34.6,42.83
2026-08-25T13:30:37Z,256,9,1384.3,840.1,5289,273,20581,34.6,43.67
2026-08-25T13:31:40Z,319,9,1385,840.6,5271,262,20483,34.8,35.94
2026-08-25T13:32:43Z,382,9,1385.3,840.7,5255,259,20540,34.7,44.33
2026-08-25T13:33:46Z,445,9,1384.6,840.5,5259,261,20528,34.8,45.3
2026-08-25T13:34:49Z,508,9,1386,842.1,5236,277,20547,34.6,45.55
2026-08-25T13:35:52Z,571,9,1386.1,842.1,5223,258,20776,34.6,44.86
2026-08-25T13:36:55Z,634,9,1385.9,842,5225,260,20643,34.9,41.36
2026-08-25T13:37:58Z,697,9,1385.6,841.6,5223,259,20699,34.7,36.17
2026-08-25T13:39:01Z,760,9,1386.4,842.8,5225,260,20683,34.7,39.88
2026-08-25T13:40:04Z,823,9,1386.5,842.8,5224,259,20728,34.7,38.95
2026-08-25T13:41:07Z,886,9,1385.6,841.8,5224,259,20746,34.7,40.55
2026-08-25T13:42:10Z,949,9,1386.3,842.7,5224,259,20744,34.7,38.59
2026-08-25T13:43:13Z,1012,9,1384,840.2,5224,259,20738,34.7,38.11
2026-08-25T13:44:16Z,1075,9,1384.9,841.1,5224,259,20737,34.7,42.98
2026-08-25T13:45:19Z,1138,9,1389.6,845.9,5218,259,20730,34.7,43
2026-08-25T13:46:22Z,1201,9,1387.6,843.9,5220,259,20731,34.7,46.48
2026-08-25T13:47:25Z,1264,9,1387.2,843.6,5219,259,20651,34.8,35.66
2026-08-25T13:48:28Z,1328,9,1388.1,844.9,5232,263,20637,34.9,34.72
2026-08-25T13:49:31Z,1391,9,1386.5,843.5,5230,262,20746,34.7,36.95
2026-08-25T13:50:35Z,1454,9,1385.7,842.2,5232,263,20725,34.7,39.23
2026-08-25T13:51:38Z,1517,9,1387.5,843.9,5230,263,20744,34.7,40.83
2026-08-25T13:52:41Z,1580,9,1388.1,844.6,5232,263,20743,34.7,40.69
2026-08-25T13:53:44Z,1643,9,1387.2,843.6,5230,262,20741,34.7,42.94
2026-08-25T13:54:47Z,1706,9,1438.6,895.2,5246,266,20695,34.7,44.84
2026-08-25T13:55:50Z,1769,9,1402.3,856.3,5241,267,20727,34.8,45.91
2026-08-25T13:56:53Z,1832,9,1404.6,858.9,5243,268,20724,34.8,45.52
2026-08-25T13:57:56Z,1895,9,1403.7,857.4,5243,266,20646,34.9,36.16
2026-08-25T13:58:59Z,1958,9,1408,862,5241,266,20691,34.7,38.69
2026-08-25T14:00:02Z,2021,9,1408,862.6,5242,265,20612,35.7,39.72
2026-08-25T14:01:05Z,2084,9,1404.2,858.5,5242,265,20683,34.7,40.66
2026-08-25T14:02:08Z,2147,9,1403.1,857.6,5236,265,20677,34.7,42.86
2026-08-25T14:03:11Z,2210,9,1403.8,857.7,5238,265,20632,34.9,41.83
2026-08-25T14:04:14Z,2273,9,1401.6,855.6,5238,265,20694,34.7,46.39
2026-08-25T14:05:17Z,2336,9,1402.3,856.1,5236,265,20701,34.6,43.23
2026-08-25T14:06:20Z,2399,9,1403.9,858,5238,265,20699,34.7,49.91
2026-08-25T14:07:23Z,2462,9,1408.1,862.1,5236,265,20607,34.7,43.08
2026-08-25T14:08:26Z,2526,9,1402.5,856.3,5239,265,20614,34.7,44.23
2026-08-25T14:09:29Z,2589,9,1402.8,856.7,5234,264,20689,34.7,43.47
