iso_utc,uptime_s,procs,ws_mb,private_mb,handles,threads,avail_mb,commit_pct,cpu_pct_sum,vram_used_mb,vram_total_mb,gpu_util_pct
2026-08-27T20:31:56Z,0,10,1561.6,1280.8,5628,328,21086,35.9,0,731,8188,10
2026-08-27T20:32:57Z,60,9,1266.2,890.2,5285,323,21497,34.1,58.25,610,8188,25
2026-08-27T20:33:57Z,120,9,1259.8,881.8,5293,322,21487,34.1,59.58,609,8188,28
2026-08-27T20:34:57Z,180,9,1272.3,894.2,5282,321,21504,34,60.71,609,8188,27
2026-08-27T20:35:57Z,241,9,1263.8,885.3,5210,321,21512,34,55.73,609,8188,23
2026-08-27T20:36:57Z,301,9,1267.9,888.8,5201,332,21513,34,57.4,609,8188,23
2026-08-27T20:37:57Z,361,9,1265.4,889.4,5219,333,21511,34,57.13,609,8188,21
2026-08-27T20:38:58Z,421,9,1266.4,889.9,5196,319,21514,34,60.64,609,8188,24
2026-08-27T20:39:58Z,481,9,1267.9,892.5,5179,316,21436,34.1,49.57,609,8188,29
2026-08-27T20:40:58Z,541,9,1263.1,887.1,5178,316,21485,34,53.2,609,8188,25
2026-08-27T20:41:58Z,602,9,1264.8,889.4,5161,333,21531,34,55.8,609,8188,25
2026-08-27T20:42:58Z,662,9,1263.6,888.2,5142,316,21540,33.9,59.8,609,8188,24
2026-08-27T20:43:58Z,722,9,1262.5,886.7,5150,317,21546,33.9,57.79,609,8188,26
2026-08-27T20:44:58Z,782,9,1267.6,891.9,5150,317,21542,33.9,58.49,609,8188,25
2026-08-27T20:45:59Z,842,9,1263.1,886.9,5150,317,21549,33.9,56.56,609,8188,28
2026-08-27T20:46:59Z,902,9,1264,888.7,5150,317,21542,33.9,58.17,609,8188,26
2026-08-27T20:47:59Z,962,9,1263.5,888.1,5148,317,21519,34,56.5,609,8188,25
2026-08-27T20:48:59Z,1022,9,1264.2,889.7,5149,316,21508,34.1,56.52,609,8188,26
2026-08-27T20:49:59Z,1083,9,1268.7,894.1,5147,316,21464,34.1,53.41,609,8188,25
2026-08-27T20:50:59Z,1143,9,1262.8,887.2,5145,316,21479,34,56.53,609,8188,22
2026-08-27T20:51:59Z,1203,9,1292.1,889.1,5141,315,21503,34,58.74,609,8188,26
2026-08-27T20:53:00Z,1263,9,1292.8,889.1,5143,316,21493,34.1,64.25,609,8188,27
2026-08-27T20:54:00Z,1323,9,1293.6,890,5141,316,21518,34,59.01,609,8188,28
2026-08-27T20:55:00Z,1383,9,1292.9,889.3,5141,316,21525,33.9,60.53,609,8188,28
2026-08-27T20:56:00Z,1443,9,1298,895.1,5144,317,21519,34,59.29,609,8188,24
2026-08-27T20:57:00Z,1504,9,1293.3,889.7,5140,317,21520,34,60.31,609,8188,28
2026-08-27T20:58:00Z,1564,9,1294.1,890.6,5142,317,21515,34,58.03,609,8188,24
2026-08-27T20:59:00Z,1624,9,1293.6,889.7,5140,317,21514,34,56.46,609,8188,29
2026-08-27T21:00:01Z,1684,9,1298.6,895.4,5141,317,21433,34.1,49.82,609,8188,26
2026-08-27T21:01:01Z,1744,9,1294.4,890.8,5138,315,21438,34.1,56.01,609,8188,20
2026-08-27T21:02:01Z,1804,9,1316.5,916.8,5144,317,21493,34.1,53.95,614,8188,26
