iso,epochMs,elapsedSec,ok,errorKind,runId,appUptimeSec,mode,panelCount,memoryMb,memoryPeakMb,mem_Browser,mem_Tab,mem_GPU,mem_Utility,mem_Other,crashes,failedLoads,loads,watchdogReloads,watchdogDeferrals,timerRefreshes,recycles,memoryRecycles,memoryLimitHits,memoryAllInUse,memoryPressure,panelsCrashedNow,panelsLoadingNow,maxReloadAttemptsPeak,urlDrifted,lastRecycleReclaimedMb,lastRecycleGone
2026-08-27T20:31:56.604Z,1787862716604,0,1,,83acd2e6,12,grid,4,1537,0,123,1059,285,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2026-08-27T20:32:56.628Z,1787862776628,60,1,,83acd2e6,72,grid,4,1267,1276,120,771,306,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:33:56.652Z,1787862836652,120,1,,83acd2e6,132,grid,4,1261,1276,121,769,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:34:56.670Z,1787862896670,180,1,,83acd2e6,192,grid,4,1269,1276,121,772,307,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:35:56.682Z,1787862956682,240,1,,83acd2e6,252,grid,4,1264,1276,121,772,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:36:56.694Z,1787863016694,300,1,,83acd2e6,312,grid,4,1268,1276,121,775,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:37:56.705Z,1787863076705,360,1,,83acd2e6,372,grid,4,1266,1276,121,773,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:38:56.726Z,1787863136726,420,1,,83acd2e6,432,grid,4,1267,1276,122,773,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:39:56.743Z,1787863196743,480,1,,83acd2e6,492,grid,4,1268,1276,121,775,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:40:56.764Z,1787863256764,540,1,,83acd2e6,552,grid,4,1263,1276,122,769,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:41:56.773Z,1787863316773,600,1,,83acd2e6,612,grid,4,1265,1276,121,771,304,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:42:56.788Z,1787863376788,660,1,,83acd2e6,672,grid,4,1264,1276,121,770,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:43:56.800Z,1787863436800,720,1,,83acd2e6,732,grid,4,1263,1276,121,769,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:44:56.816Z,1787863496816,780,1,,83acd2e6,792,grid,4,1264,1276,122,770,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:45:56.829Z,1787863556829,840,1,,83acd2e6,852,grid,4,1263,1276,122,770,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:46:56.848Z,1787863616848,900,1,,83acd2e6,912,grid,4,1264,1276,122,770,303,69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:47:56.860Z,1787863676860,960,1,,83acd2e6,972,grid,4,1264,1276,121,771,303,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:48:56.875Z,1787863736875,1020,1,,83acd2e6,1032,grid,4,1264,1276,121,771,303,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:49:56.897Z,1787863796897,1080,1,,83acd2e6,1092,grid,4,1268,1276,121,771,307,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:50:56.909Z,1787863856909,1140,1,,83acd2e6,1152,grid,4,1263,1276,121,771,303,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:51:56.923Z,1787863916923,1200,1,,83acd2e6,1212,grid,4,1292,1291,121,785,318,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:52:56.933Z,1787863976933,1260,1,,83acd2e6,1272,grid,4,1293,1293,121,786,318,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:53:56.941Z,1787864036941,1320,1,,83acd2e6,1332,grid,4,1294,1295,121,785,319,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:54:56.952Z,1787864096952,1380,1,,83acd2e6,1392,grid,4,1293,1297,121,786,317,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:55:56.973Z,1787864156973,1440,1,,83acd2e6,1452,grid,4,1293,1297,121,787,317,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2026-08-27T20:56:56.983Z,1787864216983,1500,1,,83acd2e6,1512,grid,4,1293,1297,121,787,317,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
